0,39,0.428571,77516,-1,13,-0.333333,0.230769,0.2,-1,-1,2174,0,40,-1 
0,50,-0.714286,83311,-1,13,-1,-0.384615,-0.2,-1,-1,0,0,13,-1 
0,38,-1,215646,-0.6,9,-0.666667,-0.0769231,0.2,-1,-1,0,0,40,-1 
0,53,-1,234721,-0.733333,7,-1,-0.0769231,-0.2,1,-1,0,0,40,-1 
0,28,-1,338409,-1,13,-1,-0.230769,-1,1,1,0,0,40,-0.4 
0,37,-1,284582,0.333333,14,-1,-0.384615,-1,-1,1,0,0,40,-1 
0,49,-1,160187,-0.0666667,5,0.666667,-0.692308,0.2,1,1,0,0,16,-0.1 
1,52,-0.714286,209642,-0.6,9,-1,-0.384615,-0.2,-1,-1,0,0,45,-1 
1,31,-1,45781,0.333333,14,-0.333333,-0.230769,0.2,-1,1,14084,0,50,-1 
1,42,-1,159449,-1,13,-1,-0.384615,-0.2,-1,-1,5178,0,40,-1 
1,37,-1,280464,-0.866667,10,-1,-0.384615,-0.2,1,-1,0,0,80,-1 
1,30,0.428571,141297,-1,13,-1,-0.230769,-0.2,-0.5,-1,0,0,40,-0.65 
0,23,-1,122272,-1,13,-0.333333,0.230769,-0.6,-1,1,0,0,30,-1 
0,32,-1,205019,-0.333333,12,-0.333333,-0.538462,0.2,1,-1,0,0,50,-1 
1,40,-1,121772,-0.2,11,-1,-0.846154,-0.2,-0.5,-1,0,0,40,0 
0,34,-1,245487,0.0666667,4,-1,0.538462,-0.2,0,-1,0,0,45,0 
0,25,-0.714286,176756,-0.6,9,-0.333333,0.384615,-0.6,-1,-1,0,0,35,-1 
0,32,-1,186824,-0.6,9,-0.333333,0.0769231,1,-1,-1,0,0,40,-1 
0,38,-1,28887,-0.733333,7,-1,-0.538462,-0.2,-1,-1,0,0,50,-1 
1,43,-0.714286,292175,0.333333,14,-0.666667,-0.384615,1,-1,1,0,0,45,-1 
1,40,-1,193524,0.733333,16,-1,-0.230769,-0.2,-1,-1,0,0,60,-1 
0,54,-1,302146,-0.6,9,0,-0.692308,1,1,1,0,0,20,-1 
0,35,-0.142857,76845,-0.0666667,5,-1,0.384615,-0.2,1,-1,0,0,40,-1 
0,43,-1,117037,-0.733333,7,-1,0.538462,-0.2,-1,-1,0,2042,40,-1 
0,59,-1,109015,-0.6,9,-0.666667,-1,1,-1,1,0,0,40,-1 
1,56,0.142857,216851,-1,13,-1,-1,-0.2,-1,-1,0,0,40,-1 
0,19,-1,168294,-0.6,9,-0.333333,-0.846154,-0.6,-1,-1,0,0,40,-1 
1,54,0,180211,-0.866667,10,-1,0,-0.2,-0.5,-1,0,0,60,-0.5 
0,39,-1,367260,-0.6,9,-0.666667,-0.384615,0.2,-1,-1,0,0,80,-1 
0,49,-1,193366,-0.6,9,-1,-0.846154,-0.2,-1,-1,0,0,40,-1 
0,23,0.142857,190709,-0.333333,12,-0.333333,0.846154,0.2,-1,-1,0,0,52,-1 
0,20,-1,266015,-0.866667,10,-0.333333,-0.538462,-0.6,1,-1,0,0,44,-1 
0,45,-1,386940,-1,13,-0.666667,-0.384615,-0.6,-1,-1,0,1408,40,-1 
0,30,-0.142857,59951,-0.866667,10,-1,0.230769,-0.6,-1,-1,0,0,40,-1 
0,22,0.428571,311512,-0.866667,10,-1,-0.692308,-0.2,1,-1,0,0,15,-1 
0,48,-1,242406,-0.733333,7,-0.333333,0.0769231,1,-1,-1,0,0,40,-0.85 
0,21,-1,197200,-0.866667,10,-0.333333,0.0769231,-0.6,-1,-1,0,0,40,-1 
0,19,-1,544091,-0.6,9,1,0.230769,-1,-1,1,0,0,25,-1 
1,31,-1,84154,-0.866667,10,-1,-0.538462,-0.2,-1,-1,0,0,38,0 
0,48,-0.714286,265477,-0.333333,12,-1,-0.230769,-0.2,-1,-1,0,0,40,-1 
0,31,-1,507875,-0.0666667,5,-1,0.0769231,-0.2,-1,-1,0,0,43,-1 
0,53,-0.714286,88506,-1,13,-1,-0.230769,-0.2,-1,-1,0,0,40,-1 
0,24,-1,172987,-1,13,-1,-1,-0.2,-1,-1,0,0,50,-1 
0,49,-1,94638,-0.6,9,0,0.230769,1,-1,1,0,0,40,-1 
0,25,-1,289980,-0.6,9,-0.333333,-0.0769231,0.2,-1,-1,0,0,35,-1 
1,57,-0.142857,337895,-1,13,-1,-0.230769,-0.2,1,-1,0,0,40,-1 
0,53,-1,144361,-0.6,9,-1,0.0769231,-0.2,-1,-1,0,0,38,-1 
0,44,-1,128354,0.333333,14,-0.666667,-0.384615,1,-1,1,0,0,40,-1 
0,41,0.428571,101603,-0.2,11,-1,-0.846154,-0.2,-1,-1,0,0,40,-1 
0,29,-1,271466,-0.2,11,-0.333333,-0.230769,0.2,-1,-1,0,0,43,-1 
0,25,-1,32275,-0.866667,10,-1,-0.384615,-1,0.5,1,0,0,40,-1 
0,18,-1,226956,-0.6,9,-0.333333,-0.692308,-0.6,-1,1,0,0,30,0 
1,47,-1,51835,-0.466667,15,-1,-0.230769,-1,-1,1,0,1902,60,-0.3 
1,50,-0.142857,251585,-1,13,-0.666667,-0.384615,0.2,-1,-1,0,0,55,-1 
0,47,-0.428571,109832,-0.6,9,-0.666667,-0.384615,0.2,-1,-1,0,0,60,-1 
1,43,-1,237993,-0.866667,10,-1,-1,-0.2,-1,-1,0,0,40,-1 
