2	 1:23.7	 2:26.272	 3:585.2	 4:749.2	 5:4.76416302416414E-03
2	 1:23.718	 2:26.29	 3:578.4	 4:760.4	 5:4.77266099212519E-03
2	 1:23.73	 2:26.23	 3:572.666666666667	 4:769.666666666667	 5:4.76515255246541E-03
2	 1:23.7225	 2:26.125	 3:493.75	 4:774.75	 5:4.74377335599685E-03
2	 1:23.754	 2:26.2	 3:488.6	 4:779	 5:4.76659399998615E-03
2	 1:23.76	 2:26.26	 3:568.666666666667	 4:790	 5:4.77933243163454E-03
2	 1:23.73	 2:26.29	 3:536.333333333333	 4:798	 5:4.77613633274892E-03
2	 1:23.754	 2:26.29	 3:509	 4:797	 5:4.78309370839038E-03
2	 1:23.754	 2:26.35	 3:476	 4:803.2	 5:4.79409399662041E-03
2	 1:23.736	 2:26.39	 3:510	 4:809	 5:4.79618871038935E-03
2	 1:23.745	 2:26.445	 3:481.5	 4:815.25	 5:4.80888622067716E-03
2	 1:23.7	 2:26.56	 3:481.8	 4:824	 5:4.8167933677358E-03
2	 1:23.7	 2:26.6	 3:475.25	 4:832	 5:4.82410383674874E-03
2	 1:23.7	 2:26.7	 3:469	 4:845.333333333333	 5:4.84238075533563E-03
2	 1:23.7	 2:26.774	 3:464	 4:852.4	 5:4.85590636128976E-03
2	 1:23.7	 2:26.89	 3:464	 4:861	 5:4.87710983719076E-03
2	 1:23.7	 2:26.9725	 3:455	 4:880	 5:4.892190768364E-03
2	 1:23.6	 2:26.89	 3:454	 4:891	 5:4.84759441396992E-03
2	 1:23.64	 2:26.976	 3:458	 4:897.6	 5:4.8750447811301E-03
2	 1:23.65	 2:27.05	 3:464	 4:900.5	 5:4.89149158929623E-03
2	 1:23.64	 2:27.1	 3:473	 4:908.8	 5:4.89763024345823E-03
2	 1:23.6	 2:27.16	 3:464	 4:918	 5:4.89665184522539E-03
2	 1:23.6	 2:27.236	 3:498.4	 4:925.2	 5:4.91046198855591E-03
2	 1:23.6	 2:27.29	 3:530.2	 4:929.4	 5:4.9202748285747E-03
2	 1:23.6	 2:27.33	 3:533.6	 4:936.4	 5:4.92754379701558E-03
2	 1:23.6	 2:27.34	 3:524.25	 4:950	 5:4.9293610654639E-03
2	 1:23.625	 2:27.3925	 3:498.666666666667	 4:961	 5:4.94640574744149E-03
2	 1:23.6	 2:27.39	 3:516.333333333333	 4:963	 5:4.93844756573873E-03
2	 1:23.6	 2:27.412	 3:501.2	 4:958.6	 5:4.94244570930318E-03
2	 1:23.6	 2:27.5	 3:522	 4:965.333333333333	 5:4.95843879351724E-03
2	 1:23.6	 2:27.525	 3:520.5	 4:979.25	 5:4.96298243218165E-03
2	 1:23.6	 2:27.6	 3:505.285714285714	 4:978.428571428571	 5:4.97661374332263E-03
2	 1:23.6	 2:27.6	 3:488.333333333333	 4:983	 5:4.97661374332263E-03
2	 1:23.6	 2:27.54	 3:512	 4:992.6	 5:4.96570864699156E-03
2	 1:23.6	 2:27.6	 3:511	 4:997.2	 5:4.97661374332263E-03
2	 1:23.6166666666667	 2:27.6333333333333	 3:501.5	 4:999.5	 5:4.98771842139186E-03
2	 1:23.6666666666667	 2:27.7	 3:503.666666666667	 4:1001	 5:5.01505086095386E-03
2	 1:23.6	 2:27.7	 3:483.166666666667	 4:1009.5	 5:4.99478974690881E-03
2	 1:23.6	 2:27.7225	 3:483.5	 4:1019	 5:4.99887949294923E-03
2	 1:23.6	 2:27.79	 3:473	 4:1021	 5:5.01114905119468E-03
2	 1:23.6	 2:27.8566666666667	 3:470.333333333333	 4:1024.66666666667	 5:5.02326760476436E-03
2	 1:23.6	 2:27.8042857142857	 3:480.142857142857	 4:1030.42857142857	 5:5.01374584466786E-03
2	 1:23.575	 2:27.79	 3:464	 4:1026.25	 5:5.00354474845336E-03
2	 1:23.54	 2:27.81	 3:474.4	 4:1028	 5:4.99653801060323E-03
2	 1:23.6	 2:27.978	 3:470	 4:1034.8	 5:5.04532457442066E-03
2	 1:23.525	 2:28	 3:454	 4:1055.5	 5:5.02636675819462E-03
2	 1:23.5	 2:27.978	 3:454	 4:1055.25	 5:5.0147597241768E-03
2	 1:23.5	 2:28	 3:454	 4:1050	 5:5.01873480786954E-03
2	 1:23.5	 2:28	 3:454	 4:1051.25	 5:5.01873480786954E-03
2	 1:23.5	 2:28	 3:445	 4:1053.6	 5:5.01873480786954E-03
2	 1:23.5	 2:28	 3:439	 4:1055.5	 5:5.01873480786954E-03
2	 1:23.5	 2:28.025	 3:444.25	 4:1055	 5:5.02325200960961E-03
2	 1:23.445	 2:28.125	 3:454.75	 4:1059.5	 5:5.02449114747957E-03
2	 1:23.39	 2:28.18	 3:455.8	 4:1060	 5:5.01758227438523E-03
2	 1:23.39	 2:28.2	 3:451.6	 4:1073.6	 5:5.02117211635073E-03
2	 1:23.39	 2:28.2	 3:451.6	 4:1078.6	 5:5.02117211635073E-03
2	 1:23.39	 2:28.2	 3:454.75	 4:1081	 5:5.02117211635073E-03
2	 1:23.39	 2:28.2225	 3:454.75	 4:1082	 5:5.02521073769626E-03
2	 1:23.39	 2:28.3733333333333	 3:457.5	 4:1088.83333333333	 5:5.05228580200481E-03
2	 1:23.37	 2:28.39	 3:464	 4:1090.6	 5:5.04912954232637E-03
